Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,5.032500,5.070000,4.952500,5.032500,4.836185,11368000
2015-01-05,5.032500,5.047500,4.925000,4.947500,4.754502,19795200
2015-01-06,4.955000,4.960000,4.792500,4.797500,4.610353,19776400
2015-01-07,4.832500,4.875000,4.770000,4.785000,4.598341,32180800
2015-01-08,4.840000,4.995000,4.837500,4.965000,4.771321,28378000
2015-01-09,4.982500,5.022500,4.915000,4.985000,4.790539,20954000
2015-01-12,4.997500,5.000000,4.877500,4.922500,4.730477,19073200
2015-01-13,4.960000,5.060000,4.880000,4.915000,4.723269,23672000
2015-01-14,4.862500,4.950000,4.850000,4.935000,4.742490,15526000
2015-01-15,4.970000,5.000000,4.897500,4.900000,4.708856,18893200
2015-01-16,4.892500,4.995000,4.877500,4.990000,4.795343,18151200
2015-01-20,5.025000,5.052500,4.942500,5.005000,4.809759,14030800
2015-01-21,4.977500,5.087500,4.942500,5.075000,4.877028,14478000
2015-01-22,5.085000,5.177500,5.032500,5.162500,4.961114,15971200
2015-01-23,5.167500,5.187500,5.125000,5.177500,4.975531,12041600
2015-01-26,5.155000,5.180000,5.122500,5.155000,4.953907,13324000
2015-01-27,5.075000,5.080000,4.897500,4.907500,4.716063,35794800
2015-01-28,4.967500,4.987500,4.825000,4.827500,4.639182,27272800
2015-01-29,4.830000,4.972500,4.807500,4.945000,4.752100,23534000
2015-01-30,4.910000,4.967500,4.792500,4.800000,4.612756,29820000
2015-02-02,4.830000,4.925000,4.735000,4.905000,4.713660,25960400
2015-02-03,4.940000,5.032500,4.915000,5.027500,4.831382,18346800
2015-02-04,5.012500,5.097500,4.997500,5.040000,4.843394,18151600
2015-02-05,5.045000,5.125000,5.040000,5.122500,4.922675,14044800
2015-02-06,5.117500,5.177500,5.077500,5.100000,4.901053,21052400
2015-02-09,5.070000,5.110000,5.037500,5.095000,4.896247,27394400
2015-02-10,5.100000,5.240000,5.077500,5.237500,5.033190,22620400
2015-02-11,5.250000,5.250000,5.167500,5.202500,4.999555,32083200
2015-02-12,5.500000,5.625000,5.467500,5.575000,5.357523,67690400
2015-02-13,5.562500,5.585000,5.477500,5.577500,5.359926,31008400
2015-02-17,5.567500,5.622500,5.532500,5.595000,5.376744,20334000
2015-02-18,5.587500,5.597500,5.520000,5.530000,5.314281,17094800
