Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,23.030001,23.110001,22.750000,23.010000,18.702963,5009300
2015-01-05,22.840000,22.950001,22.570000,22.690001,18.442869,7039700
2015-01-06,21.889999,22.770000,21.889999,22.299999,18.125862,7835600
2015-01-07,22.480000,22.770000,22.350000,22.620001,18.385965,5839900
2015-01-08,22.930000,23.490000,22.900000,23.350000,18.979322,9533600
2015-01-09,23.379999,23.469999,23.219999,23.309999,18.946810,6461700
2015-01-12,23.379999,23.450001,23.080000,23.280001,18.922424,5867000
2015-01-13,23.410000,23.889999,22.950001,23.150000,18.816757,9155900
2015-01-14,22.910000,23.270000,22.740000,23.250000,18.898041,6829000
2015-01-15,23.799999,23.799999,23.010000,23.020000,18.711086,9173200
2015-01-16,22.950001,23.290001,22.790001,23.170000,18.833010,9960800
2015-01-20,23.350000,23.360001,22.920000,23.150000,18.816757,8305300
2015-01-21,23.070000,23.330000,22.830000,23.290001,18.930555,8283000
2015-01-22,23.440001,23.750000,23.270000,23.719999,19.280067,6610300
2015-01-23,23.690001,23.930000,23.629999,23.850000,19.385733,6603100
2015-01-26,23.750000,24.120001,23.540001,23.910000,19.434500,8039600
2015-01-27,23.709999,24.980000,23.700001,24.730000,20.101013,16548000
2015-01-28,24.870001,25.160000,24.170000,24.219999,19.686472,14824600
2015-01-29,24.360001,24.360001,23.270000,23.790001,19.336960,14157400
2015-01-30,23.650000,24.150000,23.610001,23.770000,19.320709,11472400
2015-02-02,23.870001,24.190001,23.230000,24.150000,19.629576,9573700
2015-02-03,24.170000,24.400000,23.950001,24.350000,19.792139,9609500
2015-02-04,24.309999,24.520000,24.150000,24.270000,19.727116,9187700
2015-02-05,24.219999,24.650000,24.170000,24.480000,19.897800,8666000
2015-02-06,24.500000,24.650000,24.170000,24.209999,19.678341,10167100
2015-02-09,24.219999,24.510000,24.170000,24.240000,19.702726,7757300
2015-02-10,24.410000,24.900000,24.200001,24.850000,20.198549,8829900
2015-02-11,24.840000,24.870001,24.430000,24.549999,19.954706,5990300
2015-02-12,24.629999,25.049999,24.610001,24.860001,20.206678,7373200
2015-02-13,24.860001,25.030001,24.760000,25.000000,20.320477,6191200
2015-02-17,24.959999,25.000000,24.530001,24.600000,19.995348,6591400
2015-02-18,24.639999,24.690001,24.370001,24.629999,20.019730,6260200
2015-02-19,24.600000,24.750000,24.500000,24.650000,20.035982,7059100
2015-02-20,24.590000,24.959999,24.260000,24.959999,20.287956,6922500
2015-02-23,24.940001,24.959999,24.719999,24.780001,20.141653,4922100
2015-02-24,24.740000,24.820000,24.570000,24.780001,20.141653,5006500
2015-02-25,24.580000,24.719999,24.430000,24.600000,20.092649,5410500
2015-02-26,24.600000,24.790001,24.410000,24.469999,19.986462,6489700
2015-02-27,24.500000,24.670000,24.340000,24.400000,19.929296,7660000
2015-03-02,24.320000,24.650000,24.250000,24.629999,20.117151,6902000
2015-03-03,24.570000,24.870001,24.480000,24.600000,20.092649,7297600
2015-03-04,24.500000,24.889999,24.280001,24.750000,20.215166,7113900
2015-03-05,24.700001,24.850000,24.559999,24.620001,20.108980,4808100
2015-03-06,24.530001,24.620001,23.980000,24.030001,19.627087,6211300
2015-03-09,24.040001,24.139999,23.639999,23.760000,19.406549,9646200
2015-03-10,23.580000,23.580000,23.040001,23.049999,18.826645,11204600
2015-03-11,23.230000,23.230000,22.660000,22.700001,18.540777,10838000
2015-03-12,22.750000,23.170000,22.549999,23.129999,18.891985,10354100
2015-03-13,22.959999,23.120001,22.639999,23.000000,18.785810,7769000
2015-03-16,23.170000,23.730000,23.139999,23.709999,19.365715,7456100
2015-03-17,23.680000,23.709999,23.370001,23.370001,19.088018,7177700
2015-03-18,23.250000,23.860001,23.129999,23.760000,19.406549,6871200
2015-03-19,23.620001,23.700001,23.070000,23.129999,18.891985,8291200
2015-03-20,23.190001,23.600000,23.170000,23.389999,19.104345,12800900
2015-03-23,23.379999,23.639999,23.360001,23.469999,19.169689,5931100
2015-03-24,23.500000,23.610001,23.400000,23.410000,19.120686,6116500
2015-03-25,23.450001,23.570000,22.690001,22.709999,18.548943,9335800
2015-03-26,22.610001,22.620001,22.250000,22.469999,18.352915,12019900
2015-03-27,22.520000,22.770000,22.410000,22.740000,18.573444,4843200
2015-03-30,22.900000,23.299999,22.900000,23.240000,18.981833,6636900
2015-03-31,23.129999,23.129999,22.610001,22.680000,18.524437,8067500
2015-04-01,22.620001,22.660000,22.190001,22.250000,18.173227,9290200
2015-04-02,22.209999,22.440001,22.070000,22.320000,18.230400,9155000
2015-04-06,22.219999,22.469999,22.100000,22.370001,18.271240,8828900
2015-04-07,22.370001,22.379999,21.969999,22.000000,17.969030,8084100
2015-04-08,22.040001,22.180000,21.760000,22.059999,18.018038,11006700
2015-04-09,22.040001,22.280001,22.010000,22.240000,18.165058,8297200
2015-04-10,22.280001,22.430000,22.190001,22.420000,18.312078,6751000
2015-04-13,22.469999,22.719999,22.330000,22.360001,18.263067,6653700
2015-04-14,22.389999,22.490000,22.080000,22.340000,18.246740,7289400
2015-04-15,22.420000,22.580000,22.320000,22.330000,18.238565,7181400
2015-04-16,22.270000,22.750000,22.250000,22.639999,18.491770,9309700
2015-04-17,22.430000,22.459999,22.100000,22.459999,18.344748,9955900
2015-04-20,22.580000,22.920000,22.530001,22.680000,18.524437,8010900
2015-04-21,22.860001,22.900000,22.400000,22.610001,18.467266,8105600
2015-04-22,22.500000,22.590000,22.049999,22.440001,18.328409,7870500
2015-04-23,22.360001,22.980000,22.360001,22.790001,18.614288,10749200
2015-04-24,22.850000,22.870001,22.440001,22.520000,18.393753,7346400
2015-04-27,22.559999,22.799999,22.299999,22.379999,18.279402,12915800
2015-04-28,22.299999,22.360001,21.760000,22.070000,18.026205,16599600
2015-04-29,21.770000,21.780001,20.870001,21.360001,17.446297,22635100
2015-04-30,21.280001,21.440001,20.700001,20.930000,17.095091,14806800
2015-05-01,21.020000,21.450001,21.020000,21.440001,17.511641,10765500
2015-05-04,21.450001,21.620001,21.410000,21.440001,17.511641,6281700
2015-05-05,21.350000,21.430000,20.700001,20.799999,16.988905,11100400
2015-05-06,20.870001,21.090000,20.590000,21.059999,17.201265,13314300
2015-05-07,21.040001,21.190001,20.900000,21.040001,17.184927,11614400
2015-05-08,21.180000,21.400000,21.070000,21.150000,17.274771,8717800
2015-05-11,21.090000,21.500000,21.080000,21.309999,17.405458,8352900
2015-05-12,21.139999,21.260000,20.980000,20.990000,17.144093,5946900
2015-05-13,20.980000,21.250000,20.809999,21.080000,17.217598,10999200
2015-05-14,21.250000,21.389999,21.120001,21.370001,17.454466,5991000
2015-05-15,21.400000,21.459999,21.240000,21.290001,17.389126,5953800
2015-05-18,21.250000,21.459999,21.250000,21.350000,17.438128,7848400
2015-05-19,21.450001,21.620001,21.200001,21.490000,17.552475,9458900
2015-05-20,21.430000,21.760000,21.370001,21.590000,17.634157,8403600
2015-05-21,21.680000,22.049999,21.639999,21.820000,17.822010,9715400
2015-05-22,21.790001,21.820000,21.500000,21.500000,17.560648,7743900
2015-05-26,21.379999,21.400000,21.000000,21.209999,17.323784,9092500
2015-05-27,21.190001,21.209999,20.889999,21.129999,17.356638,9760700
2015-05-28,21.160000,21.160000,20.830000,21.049999,17.290924,8575800
2015-05-29,21.040001,21.120001,20.809999,20.920000,17.184137,9786400
2015-06-01,20.980000,21.100000,20.809999,20.879999,17.151283,8118000
2015-06-02,20.860001,21.000000,20.820000,20.850000,17.126644,8397600
2015-06-03,20.950001,20.990000,20.790001,20.799999,17.085567,8205300
2015-06-04,20.750000,20.760000,20.430000,20.650000,16.962357,12959300
2015-06-05,20.590000,20.770000,20.430000,20.709999,17.011642,8754900
2015-06-08,21.200001,21.200001,20.700001,20.760000,17.052717,14185200
2015-06-09,20.770000,20.770000,20.309999,20.629999,16.945927,10989900
2015-06-10,20.639999,21.020000,20.639999,21.020000,17.266279,12287600
2015-06-11,21.000000,21.090000,20.770000,20.799999,17.085567,8644500
2015-06-12,20.680000,20.840000,20.549999,20.750000,17.044497,7674300
2015-06-15,20.660000,20.660000,20.260000,20.379999,16.740570,11146300
2015-06-16,20.600000,20.990000,20.500000,20.900000,17.167711,14505900
2015-06-17,20.980000,21.120001,20.750000,20.910000,17.175922,6967300
2015-06-18,20.990000,21.290001,20.969999,21.219999,17.430565,7743700
2015-06-19,21.170000,21.190001,20.940001,20.940001,17.200575,9573000
2015-06-22,21.110001,21.139999,20.910000,21.059999,17.299137,7942200
2015-06-23,21.030001,21.059999,20.879999,20.969999,17.225210,6724900
2015-06-24,20.870001,20.980000,20.559999,20.770000,17.060926,13670200
2015-06-25,20.900000,20.920000,20.520000,20.549999,16.880215,8794000
2015-06-26,20.510000,20.600000,20.330000,20.330000,16.699501,14402300
2015-06-29,20.219999,20.240000,19.660000,19.700001,16.182003,13547200
2015-06-30,19.900000,20.059999,19.570000,19.730000,16.206648,15155700
